attack_variant,feature_set,metric,mean,std
fixed_max_action,full_features,accuracy,0.9926594464500601,0.007076385284230637
fixed_max_action,full_features,precision,0.9962275772329635,0.00125505667406288
fixed_max_action,full_features,recall,0.9890493381468111,0.012964036924488376
fixed_max_action,full_features,f1,0.992590454086864,0.0071751945649108344
fixed_max_action,full_features,far,0.003730445246690734,0.0011912749622878056
fixed_max_action,full_features,auc,0.9993378644319618,0.0007650168439402964
fixed_max_action,full_features,tp,2739.6666666666665,35.91038228083288
fixed_max_action,full_features,fp,10.333333333333334,3.2998316455372216
fixed_max_action,full_features,tn,2759.6666666666665,3.299831645537222
fixed_max_action,full_features,fn,30.333333333333332,35.91038228083288
subtle_action,full_features,accuracy,0.9958483754512635,0.003318551680658882
subtle_action,full_features,precision,0.9973392506306151,0.0019795882019957318
subtle_action,full_features,recall,0.994344163658243,0.004682328870840809
subtle_action,full_features,f1,0.9958375772733352,0.0033324394428167737
subtle_action,full_features,far,0.002647412755716005,0.0019626361528640303
subtle_action,full_features,auc,0.9995714788411162,0.0005816589771622619
subtle_action,full_features,tp,2754.3333333333335,12.970050972229146
subtle_action,full_features,fp,7.333333333333333,5.436502143433364
subtle_action,full_features,tn,2762.6666666666665,5.436502143433364
subtle_action,full_features,fn,15.666666666666666,12.970050972229147
probabilistic,full_features,accuracy,0.972202166064982,0.017717750520456876
probabilistic,full_features,precision,0.9837157704701013,0.008113734127787648
probabilistic,full_features,recall,0.9601684717208183,0.02928468191744774
probabilistic,full_features,f1,0.9716527493281933,0.01841570299638722
probabilistic,full_features,far,0.015764139590854393,0.007597446025349988
probabilistic,full_features,auc,0.99402279451055,0.006592644855143792
probabilistic,full_features,tp,2659.6666666666665,81.11856891133017
probabilistic,full_features,fp,43.666666666666664,21.044925490219462
probabilistic,full_features,tn,2726.3333333333335,21.044925490219462
probabilistic,full_features,fn,110.33333333333333,81.11856891133017
delayed_effect,full_features,accuracy,0.9904933814681107,0.008084994961367407
delayed_effect,full_features,precision,0.9886316145281114,0.009029398923100136
delayed_effect,full_features,recall,0.9924187725631769,0.007298016462120983
delayed_effect,full_features,f1,0.9905189726226813,0.008055235591910955
delayed_effect,full_features,far,0.011432009626955475,0.009096390464002048
delayed_effect,full_features,auc,0.9987459326547546,0.0007254547058679337
delayed_effect,full_features,tp,2749.0,20.215505600075073
delayed_effect,full_features,fp,31.666666666666668,25.197001585285676
delayed_effect,full_features,tn,2738.3333333333335,25.19700158528568
delayed_effect,full_features,fn,21.0,20.215505600075073
stealthy_adaptive,full_features,accuracy,0.9958483754512635,0.003318551680658882
stealthy_adaptive,full_features,precision,0.9973392506306151,0.0019795882019957318
stealthy_adaptive,full_features,recall,0.994344163658243,0.004682328870840809
stealthy_adaptive,full_features,f1,0.9958375772733352,0.0033324394428167737
stealthy_adaptive,full_features,far,0.002647412755716005,0.0019626361528640303
stealthy_adaptive,full_features,auc,0.9995714788411162,0.0005816589771622619
stealthy_adaptive,full_features,tp,2754.3333333333335,12.970050972229146
stealthy_adaptive,full_features,fp,7.333333333333333,5.436502143433364
stealthy_adaptive,full_features,tn,2762.6666666666665,5.436502143433364
stealthy_adaptive,full_features,fn,15.666666666666666,12.970050972229147
fixed_max_action,no_safety_indicators,accuracy,0.9947051744885679,0.004567258655679466
fixed_max_action,no_safety_indicators,precision,0.9968567479915443,0.0001839235819533723
fixed_max_action,no_safety_indicators,recall,0.9925391095066186,0.009062897898321383
fixed_max_action,no_safety_indicators,f1,0.9946728933311619,0.004615319976443104
fixed_max_action,no_safety_indicators,far,0.003128760529482551,0.0001701821374696867
fixed_max_action,no_safety_indicators,auc,0.9993406665015835,0.0005632641206724205
fixed_max_action,no_safety_indicators,tp,2749.3333333333335,25.104227178350307
fixed_max_action,no_safety_indicators,fp,8.666666666666666,0.4714045207910317
fixed_max_action,no_safety_indicators,tn,2761.3333333333335,0.4714045207910317
fixed_max_action,no_safety_indicators,fn,20.666666666666668,25.104227178350303
fixed_max_action,no_temporal_dynamics,accuracy,0.9935619735258724,0.005532882759361057
fixed_max_action,no_temporal_dynamics,precision,0.9951576114808319,0.0017782501399863106
fixed_max_action,no_temporal_dynamics,recall,0.9919374247894104,0.009378564509457841
fixed_max_action,no_temporal_dynamics,f1,0.9935300314826815,0.005581791142401025
fixed_max_action,no_temporal_dynamics,far,0.0048134777376654635,0.0017271600594954662
fixed_max_action,no_temporal_dynamics,auc,0.9994038325361553,0.0006963684200247094
fixed_max_action,no_temporal_dynamics,tp,2747.6666666666665,25.97862369119829
fixed_max_action,no_temporal_dynamics,fp,13.333333333333334,4.784233364802441
fixed_max_action,no_temporal_dynamics,tn,2756.6666666666665,4.784233364802441
fixed_max_action,no_temporal_dynamics,fn,22.333333333333332,25.97862369119829
fixed_max_action,no_correlation_features,accuracy,0.9942839951865222,0.005152754287847536
fixed_max_action,no_correlation_features,precision,0.9957638456619571,0.00166631458476613
fixed_max_action,no_correlation_features,recall,0.9927797833935017,0.008699287399243253
fixed_max_action,no_correlation_features,f1,0.9942569509794975,0.005193724828891383
fixed_max_action,no_correlation_features,far,0.00421179302045728,0.0016234341231326165
fixed_max_action,no_correlation_features,auc,0.9993409271592227,0.000764024898208319
fixed_max_action,no_correlation_features,tp,2750.0,24.097026095903757
fixed_max_action,no_correlation_features,fp,11.666666666666666,4.4969125210773475
fixed_max_action,no_correlation_features,tn,2758.3333333333335,4.4969125210773475
fixed_max_action,no_correlation_features,fn,20.0,24.097026095903757
fixed_max_action,only_statistical_summaries,accuracy,0.9955475330926594,0.0032368177271510806
fixed_max_action,only_statistical_summaries,precision,0.9965047580599055,0.0003258807412656944
fixed_max_action,only_statistical_summaries,recall,0.9945848375451263,0.006663233790569005
fixed_max_action,only_statistical_summaries,f1,0.9955320718159794,0.003262968394640643
fixed_max_action,only_statistical_summaries,far,0.0034897713598074608,0.000340364274939373
fixed_max_action,only_statistical_summaries,auc,0.9997912132309817,0.000255064321637998
fixed_max_action,only_statistical_summaries,tp,2755.0,18.457157599876172
fixed_max_action,only_statistical_summaries,fp,9.666666666666666,0.9428090415820634
fixed_max_action,only_statistical_summaries,tn,2760.3333333333335,0.9428090415820634
fixed_max_action,only_statistical_summaries,fn,15.0,18.457157599876172
fixed_max_action,only_temporal_dynamics,accuracy,0.9503008423586041,0.016329727658962553
fixed_max_action,only_temporal_dynamics,precision,0.9420012511753195,0.01591863497520396
fixed_max_action,only_temporal_dynamics,recall,0.959927797833935,0.027371827505828537
fixed_max_action,only_temporal_dynamics,f1,0.9506498100121369,0.01671542086837294
fixed_max_action,only_temporal_dynamics,far,0.059326113116726836,0.01720860366555366
fixed_max_action,only_temporal_dynamics,auc,0.9891327485913627,0.00450477515166156
fixed_max_action,only_temporal_dynamics,tp,2659.0,75.81996219114507
fixed_max_action,only_temporal_dynamics,fp,164.33333333333334,47.66783215358364
fixed_max_action,only_temporal_dynamics,tn,2605.6666666666665,47.66783215358364
fixed_max_action,only_temporal_dynamics,fn,111.0,75.81996219114507
fixed_max_action,only_safety_indicators,accuracy,0.5232851985559567,0.010544771434169115
fixed_max_action,only_safety_indicators,precision,0.512559124514233,0.005944264128880914
fixed_max_action,only_safety_indicators,recall,0.9648616125150422,0.023063918091596407
fixed_max_action,only_safety_indicators,f1,0.6692964539892235,0.002607039696749762
fixed_max_action,only_safety_indicators,far,0.9182912154031287,0.04274824890773848
fixed_max_action,only_safety_indicators,auc,0.563263607414841,0.01537480477331442
fixed_max_action,only_safety_indicators,tp,2672.6666666666665,63.88705311372215
fixed_max_action,only_safety_indicators,fp,2543.6666666666665,118.41264947443561
fixed_max_action,only_safety_indicators,tn,226.33333333333334,118.41264947443561
fixed_max_action,only_safety_indicators,fn,97.33333333333333,63.88705311372216
